berry,cata_variable,checked,penalty_lift,count
blueberry,appearance_bruised,0,5.964659977703456,1794
blueberry,appearance_bruised,1,5.221904761904762,84
blueberry,appearance_fresh,0,5.304571428571428,630
blueberry,appearance_fresh,1,6.247884615384615,1248
blueberry,appearance_goodcolor,0,5.39850406504065,615
blueberry,appearance_goodcolor,1,6.190942201108472,1263
blueberry,appearance_goodquality,0,5.339505094614265,687
blueberry,appearance_goodquality,1,6.2728799328295555,1191
blueberry,appearance_goodshape,0,5.375134459036898,533
blueberry,appearance_goodshape,1,6.1518909541511775,1345
blueberry,appearance_misshapen,0,5.990823021017482,1697
blueberry,appearance_misshapen,1,5.374659300184162,181
blueberry,appearance_none,0,5.939623858140784,1861
blueberry,appearance_none,1,5.035294117647059,17
blueberry,appearance_notfresh,0,6.039992133726647,1695
blueberry,appearance_notfresh,1,4.9259744990892536,183
blueberry,appearance_unevencolor,0,6.022568438003221,1656
blueberry,appearance_unevencolor,1,5.251651651651652,222
blueberry,appearane_creased,0,5.9635886214442015,1828
blueberry,appearane_creased,1,4.756,50
blueberry,taste_berry,0,4.784246975385899,799
blueberry,taste_berry,1,6.780932962619709,1079
blueberry,taste_citrus,0,5.937783699755719,1501
blueberry,taste_citrus,1,5.906171529619805,377
blueberry,taste_earthy,0,6.077638978321528,1553
blueberry,taste_earthy,1,5.2328205128205125,325
blueberry,taste_fermented,0,6.072389755440016,1731
blueberry,taste_fermented,1,4.271655328798186,147
blueberry,taste_floral,0,5.883526662417676,1569
blueberry,taste_floral,1,6.1747141316073355,309
blueberry,taste_fruity,0,5.359737391823336,1117
blueberry,taste_fruity,1,6.770582566798073,761
blueberry,taste_grassy,0,6.077079282782458,1543
blueberry,taste_grassy,1,5.260616915422886,335
blueberry,taste_none,0,6.028759342301943,1784
blueberry,taste_none,1,4.084397163120568,94
blueberry,taste_peachy,0,5.854949748743719,1592
blueberry,taste_peachy,1,6.357202797202797,286
blueberry,taste_piney,0,6.019246519246519,1628
blueberry,taste_piney,1,5.359626666666666,250
